"","name","year","rating","runtime","genre","synopsis"
"1","Our Planet","(2019)","9.3","403 min","
Documentary            ","
Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America."
"2","The Last Dance","(2020)","9.1","491 min","
Documentary, Biography, History            ","
Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history."
"3","When They See Us","(2019)","8.9","296 min","
Biography, Crime, Drama            ","
Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story."
"4","Black Mirror","(2011–2019)","8.8","60 min","
Drama, Mystery, Sci-Fi            ","
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
"5","Narcos","(2015–2017)","8.8","49 min","
Biography, Crime, Drama            ","
A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
"6","Dark","(2017–2020)","8.7","60 min","
Crime, Drama, Mystery            ","
A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
"7","Stranger Things","(2016– )","8.7","51 min","
Drama, Fantasy, Horror            ","
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
"8","House of Cards","(2013–2018)","8.7","51 min","
Drama            ","
A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him."
"9","Arrested Development","(2003–2019)","8.7","22 min","
Comedy            ","
Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
"10","The Crown","(2016– )","8.7","58 min","
Biography, Drama, History            ","
Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century."
"11","BoJack Horseman","(2014–2020)","8.8","25 min","
Animation, Comedy, Drama            ","
BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
"12","Anne","(2017–2019)","8.7","60 min","
Drama, Family            ","
The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels."
"13","Formula 1: Drive to Survive","(2019– )","8.6","40 min","
Documentary, Sport            ","
Docuseries following the FIA Formula One World Championship across multiple seasons."
"14","Daredevil","(2015–2018)","8.6","54 min","
Action, Crime, Drama            ","
A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
"15","The Queen's Gambit","(2020)","8.6","60 min","
Drama            ","
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
"16","Mindhunter","(2017–2019)","8.6","60 min","
Crime, Drama, Mystery            ","
Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
"17","The Haunting of Hill House","(2018)","8.6","572 min","
Drama, Horror, Mystery            ","
Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
"18","Making a Murderer","(2015–2018)","8.6","60 min","
Documentary, Crime            ","
Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime."
"19","Sacred Games","(2018–2019)","8.5","50 min","
Action, Crime, Drama            ","
A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
"20","Hilda","(2018– )","8.5","24 min","
Animation, Adventure, Comedy            ","
A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous."
"21","The Punisher","(2017–2019)","8.5","53 min","
Action, Crime, Drama            ","
After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
"22","Love, Death & Robots","(2019– )","8.4","15 min","
Animation, Short, Action            ","
A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"23","Trailer Park Boys","(2001–2018)","8.6","30 min","
Comedy, Crime            ","
Three petty felons have a documentary made about their life in a trailer park."
"24","Trollhunters","(2016–2018)","8.4","23 min","
Animation, Action, Adventure            ","
An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
"25","Chef's Table","(2015–2019)","8.5","50 min","
Documentary            ","
Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
"26","Ozark","(2017–2022)","8.5","60 min","
Crime, Drama, Thriller            ","
A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
"27","The Last Kingdom","(2015–2022)","8.5","60 min","
Action, Drama, History            ","
As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
"28","After Life","(2019–2022)","8.4","30 min","
Comedy, Drama            ","
After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm."
"29","Unbelievable","(2019)","8.4","385 min","
Crime, Drama            ","
A teenager is charged with lying about having been raped, but two detectives follow the path to the truth."
"30","Narcos: México","(2018–2021)","8.4","50 min","
Crime, Drama            ","
The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico."
"31","O Mecanismo","(2018–2019)","8","41 min","
Crime, Drama, Thriller            ","
Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies."
"32","Kingdom","(2019– )","8.3","45 min","
Action, Drama, Horror            ","
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
"33","The Dark Crystal: Age of Resistance","(2019)","8.4","60 min","
Animation, Adventure, Drama            ","
Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world."
"34","The Dragon Prince","(2018– )","8.3","26 min","
Animation, Action, Adventure            ","
Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands."
"35","Julie and the Phantoms","(2020)","8.4","NA","
Adventure, Comedy, Drama            ","
Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to be."
"36","Last Chance U","(2016–2020)","8.4","55 min","
Documentary, Sport            ","
Intense look inside the world of junior college football, chronicling the stories of players and coaches in the classroom and on the field."
"37","La casa de papel","(2017–2021)","8.2","70 min","
Action, Crime, Drama            ","
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain."
"38","Sex Education","(2019– )","8.4","45 min","
Comedy, Drama            ","
A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school."
"39","Sense8","(2015– )","8.2","60 min","
Drama, Mystery, Sci-Fi            ","
A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
"40","Master of None","(2015–2021)","8.2","30 min","
Comedy, Drama            ","
The personal and professional life of Dev, a 30-year-old actor in New York."
"41","Atypical","(2017–2021)","8.3","30 min","
Comedy, Drama            ","
Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, which sets Sam's mom on her own life-changing path as her son seeks more independence."
"42","Godless","(2017)","8.3","452 min","
Action, Drama, Western            ","
In the 1880s American West, murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle, New Mexico--a town inhabited, after a mining disaster, almost entirely by women."
"43","Grace and Frankie","(2015–2022)","8.2","30 min","
Comedy            ","
Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together."
"44","Longmire","(2012–2017)","8.3","60 min","
Action, Crime, Drama            ","
Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
"45","The Get Down","(2016–2017)","8.2","52 min","
Drama, Music, Musical            ","
A ragtag group of teenagers run wild in the streets of the Bronx in the late 1970s."
"46","The Midnight Gospel","(2020)","8.2","23 min","
Animation, Adventure, Comedy            ","
Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds."
"47","Patriot Act with Hasan Minhaj","(2018–2020)","8.3","25 min","
Comedy, News, Talk-Show            ","
In this weekly show, the former Daily Show correspondent Hasan Minhaj brings his unique comedic voice and storytelling skill to explore the larger grim trends shaping our fragmented world."
"48","The Witcher","(2019– )","8.2","60 min","
Action, Adventure, Drama            ","
Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
"49","The Killing","(2011–2014)","8.3","45 min","
Crime, Drama, Mystery            ","
A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
"50","Castlevania","(2017–2021)","8.3","23 min","
Animation, Action, Adventure            ","
A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula."
"51","American Vandal","(2017–2018)","8.1","34 min","
Comedy, Crime, Drama            ","
A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images."
"52","Wild Wild Country","(2018)","8.1","403 min","
Documentary, Crime            ","
When Osho, the world's most controversial guru, builds an Utopian city deep in the Oregon country, conflict with the locals escalates into a national scandal."
"53","The Kominsky Method","(2018–2021)","8.2","30 min","
Comedy, Drama            ","
An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach."
"54","One Day at a Time","(2017–2020)","8.2","30 min","
Comedy, Drama            ","
Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother."
"55","The Trials of Gabriel Fernandez","(2020)","8.1","331 min","
Documentary, Crime            ","
Filmmaker Brian Knappenberger investigates the tragic death of an 8-year-old California boy who endured horrific abuse by his mother and her boyfriend, along with the fractured and complex systems that failed to protect him."
"56","Lucifer","(2016–2021)","8.1","42 min","
Crime, Drama, Fantasy            ","
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels."
"57","The End of the F***ing World","(2017–2019)","8.1","25 min","
Adventure, Comedy, Crime            ","
James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
"58","Travelers","(2016–2018)","8","45 min","
Drama, Mystery, Sci-Fi            ","
Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity."
"59","The Keepers","(II) (2017)","8","436 min","
Documentary, Crime, Mystery            ","
A seven-part docuseries about the unsolved murder of a nun and the horrific secrets and pain that linger nearly five decades after her death."
"60","Lovesick","(2014–2018)","8","24 min","
Comedy            ","
After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news."
"61","Comedians in Cars Getting Coffee","(2012– )","8","20 min","
Comedy, Family, Talk-Show            ","
Jerry Seinfeld is joined by friends for a cup of coffee and a drive in a classic car, sharing stories all along the way."
"62","Dota: Dragon's Blood","(2021– )","7.8","25 min","
Animation, Action, Adventure            ","
After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined."
"63","Dirty Money","(2018– )","8.1","60 min","
Documentary, Crime            ","
A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy."
"64","Voltron: Legendary Defender","(2016–2018)","8.1","23 min","
Animation, Action, Adventure            ","
Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon."
"65","Orange Is the New Black","(2013–2019)","8.1","59 min","
Comedy, Crime, Drama            ","
Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
"66","The Umbrella Academy","(2019–2023)","7.9","60 min","
Action, Adventure, Comedy            ","
A family of former child heroes, now grown apart, must reunite to continue to protect the world."
"67","Altered Carbon","(2018–2020)","7.9","60 min","
Action, Drama, Sci-Fi            ","
Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom."
"68","Marco Polo","(2014–2016)","8","60 min","
Action, Adventure, Drama            ","
In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia."
"69","Unorthodox","(2020)","8","53 min","
Drama            ","
Story of a young ultra-Orthodox Jewish woman who flees her arranged marriage and religious community to start a new life abroad."
"70","Dead to Me","(2019–2022)","8","30 min","
Comedy, Crime, Drama            ","
A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret."
"71","Big Mouth","(2017– )","7.9","30 min","
Animation, Comedy, Romance            ","
Teenage friends find their lives upended by the wonders and horrors of puberty."
"72","GLOW","(2017–2019)","8","35 min","
Comedy, Drama, Sport            ","
A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s."
"73","Don't F**k with Cats: Hunting an Internet Killer","(2019)","8","187 min","
Documentary, Crime, Mystery            ","
A group of online justice seekers track down a guy who posted a video of himself killing kittens."
"74","F Is for Family","(2015–2021)","8","30 min","
Animation, Comedy, Drama            ","
Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV."
"75","Lilyhammer","(2012–2014)","7.9","45 min","
Comedy, Crime, Drama            ","
A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates."
"76","Rise of Empires: Ottoman","(2020–2022)","7.9","44 min","
Documentary, Drama, History            ","
Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries."
"77","On My Block","(2018–2021)","7.9","30 min","
Comedy, Drama            ","
A coming-of-age story about four bright, street-savvy friends navigating their way through high school in the gritty South Central Los Angeles, trying to get their friend out of a gang, and having friendship turn into something more."
"78","Dragons: Riders of Berk","(2012–2014)","7.9","22 min","
Animation, Action, Adventure            ","
The further adventures of Hiccup and his friends on the Island of Berk."
"79","Jessica Jones","(2015–2019)","7.9","56 min","
Action, Crime, Drama            ","
Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
"80","The OA","(2016–2019)","7.8","60 min","
Drama, Fantasy, Mystery            ","
Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous."
"81","Russian Doll","(2019– )","7.8","30 min","
Comedy, Drama, Mystery            ","
A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop."
"82","Bloodline","(2015–2017)","7.9","60 min","
Drama, Thriller            ","
A family is forced to face their past secrets and scars when the black sheep returns home."
"83","The Spy","(2019)","7.9","53 min","
Drama, History            ","
Based on the life of Israeli spy Eli Cohen."
"84","Shadow and Bone","(2021– )","7.6","60 min","
Action, Adventure, Drama            ","
Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world."
"85","Never Have I Ever","(2020–2023)","7.9","30 min","
Comedy, Drama            ","
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood."
"86","How to Sell Drugs Online (Fast)","(2019– )","7.8","30 min","
Comedy, Crime, Drama            ","
To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom."
"87","Soupçons","(2004–2018)","7.8","629 min","
Documentary, Crime, Drama            ","
The high-profile murder trial of American novelist Michael Peterson following the death of his wife in 2001."
"88","Suburra - La serie","(2017–2020)","7.9","50 min","
Action, Crime            ","
In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican."
"89","Inside Bill's Brain: Decoding Bill Gates","(2019)","7.9","52 min","
Documentary            ","
A documentary that tells Bill Gates' life story as he pursues solutions to some of the world's most complex problems."
"90","Maniac","(2018)","7.7","386 min","
Comedy, Drama, Sci-Fi            ","
Two strangers are drawn to a mysterious pharmaceutical trial for a drug that they're assured will, with no complications or side-effects whatsoever, permanently solve all of their problems. Things do not go as planned."
"91","Santa Clarita Diet","(2017–2019)","7.8","30 min","
Comedy, Horror            ","
Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn."
"92","A Series of Unfortunate Events","(2017–2019)","7.8","50 min","
Adventure, Comedy, Drama            ","
After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
"93","Conversations with a Killer: The Ted Bundy Tapes","(2019)","7.7","236 min","
Documentary, Biography, Crime            ","
A look inside the mind of serial killer Ted Bundy, featuring interviews with him on death row."
"94","El Chapo","(2017–2018)","7.8","43 min","
Biography, Crime, Drama            ","
A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016."
"95","Undercover","(2019– )","7.8","50 min","
Crime, Drama, Thriller            ","
Inspired by real events, undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends."
"96","I Think You Should Leave with Tim Robinson","(2019– )","7.9","16 min","
Comedy            ","
In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave."
"97","You","(2018– )","7.7","45 min","
Crime, Drama, Romance            ","
A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
"98","Love","(2016–2018)","7.7","50 min","
Comedy, Drama, Romance            ","
A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment, and other things they were hoping to avoid."
"99","Alias Grace","(2017)","7.7","267 min","
Biography, Crime, Drama            ","
In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity."
"100","The Serpent","(2021)","7.6","458 min","
Crime, Drama, Thriller            ","
The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail."
